hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,rsTrn,rsTst,model,dataset
32,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9507042253500001,0.9442046880722046,1.7127269506454468,svae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.8574870274426427,0.9442046880722046,1.7127269506454468,svae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,3,0.0,0.7992957746448295,0.9442046880722046,1.7127269506454468,svae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,4,0.05128205128205128,0.7329503335729799,0.9442046880722046,1.7127269506454468,svae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,5,0.0,0.757783543366438,0.9442046880722046,1.7127269506454468,svae,breast-cancer-wisconsin
32,8,3,leakyrelu,Dense,1024,64,1,0.05128205128205128,0.9260563380570979,0.9285785555839539,1.669226884841919,svae,breast-cancer-wisconsin
32,8,3,leakyrelu,Dense,1024,64,2,0.0,0.9401408450611378,0.9285785555839539,1.669226884841919,svae,breast-cancer-wisconsin
32,8,3,leakyrelu,Dense,1024,64,3,0.0,0.8721275018441439,0.9285785555839539,1.669226884841919,svae,breast-cancer-wisconsin
32,8,3,leakyrelu,Dense,1024,64,4,0.0,0.8576723498815049,0.9285785555839539,1.669226884841919,svae,breast-cancer-wisconsin
32,8,3,leakyrelu,Dense,1024,64,5,0.0,0.8521126760500001,0.9285785555839539,1.669226884841919,svae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9395848776762787,0.9741085767745972,1.5689330101013184,svae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9225352112499999,0.9741085767745972,1.5689330101013184,svae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,3,0.0,0.8176426983035582,0.9741085767745972,1.5689330101013184,svae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,4,0.05128205128205128,0.8719421793855449,0.9741085767745972,1.5689330101013184,svae,breast-cancer-wisconsin
32,16,3,leakyrelu,Dense,1024,64,5,0.1,0.7627872498258154,0.9741085767745972,1.5689330101013184,svae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,1,0.0,1.0,1.1615244150161743,1.2494242191314697,svae,sonar
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9318181818,1.1615244150161743,1.2494242191314697,svae,sonar
32,4,3,leakyrelu,Dense,1024,64,3,0.0,0.88636363635,1.1615244150161743,1.2494242191314697,svae,sonar
32,4,3,leakyrelu,Dense,1024,64,4,0.0,0.8305785123873967,1.1615244150161743,1.2494242191314697,svae,sonar
32,4,3,leakyrelu,Dense,1024,64,5,0.0,0.8884297520543388,1.1615244150161743,1.2494242191314697,svae,sonar
32,8,3,leakyrelu,Dense,1024,64,1,0.0,0.97727272725,1.0467934608459473,1.214139699935913,svae,sonar
32,8,3,leakyrelu,Dense,1024,64,2,0.0,0.9380165289084711,1.0467934608459473,1.214139699935913,svae,sonar
32,8,3,leakyrelu,Dense,1024,64,3,0.0,0.9132231404791322,1.0467934608459473,1.214139699935913,svae,sonar
32,8,3,leakyrelu,Dense,1024,64,4,0.0,0.9090909091,1.0467934608459473,1.214139699935913,svae,sonar
32,8,3,leakyrelu,Dense,1024,64,5,0.16666666666666666,0.729338842970248,1.0467934608459473,1.214139699935913,svae,sonar
32,16,3,leakyrelu,Dense,1024,64,1,0.0,1.0,1.0553967952728271,1.1697419881820679,svae,sonar
32,16,3,leakyrelu,Dense,1024,64,2,0.0,0.8615702479252066,1.0553967952728271,1.1697419881820679,svae,sonar
32,16,3,leakyrelu,Dense,1024,64,3,0.0,0.8595041322163223,1.0553967952728271,1.1697419881820679,svae,sonar
32,16,3,leakyrelu,Dense,1024,64,4,0.0,0.915289256158471,1.0553967952728271,1.1697419881820679,svae,sonar
32,16,3,leakyrelu,Dense,1024,64,5,0.0,0.7438016528778926,1.0553967952728271,1.1697419881820679,svae,sonar
32,4,3,leakyrelu,Dense,1024,64,1,0.0,0.944764957278835,1.1180702447891235,1.2465674877166748,svae,wall-following-robot
32,4,3,leakyrelu,Dense,1024,64,2,0.005390835579514825,0.8881665737703419,1.1180702447891235,1.2465674877166748,svae,wall-following-robot
32,4,3,leakyrelu,Dense,1024,64,3,0.005405405405405406,0.8395531400737859,1.1180702447891235,1.2465674877166748,svae,wall-following-robot
32,4,3,leakyrelu,Dense,1024,64,4,0.010752688172043012,0.8261752136835707,1.1180702447891235,1.2465674877166748,svae,wall-following-robot
32,4,3,leakyrelu,Dense,1024,64,5,0.01078167115902965,0.7668896321319714,1.1180702447891235,1.2465674877166748,svae,wall-following-robot
32,8,3,leakyrelu,Dense,1024,64,1,0.0,0.96666666665,1.0629770755767822,1.149091362953186,svae,wall-following-robot
32,8,3,leakyrelu,Dense,1024,64,2,0.0,0.9069212189161685,1.0629770755767822,1.149091362953186,svae,wall-following-robot
32,8,3,leakyrelu,Dense,1024,64,3,0.0,0.89743589745,1.0629770755767822,1.149091362953186,svae,wall-following-robot
32,8,3,leakyrelu,Dense,1024,64,4,0.0,0.8116987179508547,1.0629770755767822,1.149091362953186,svae,wall-following-robot
32,8,3,leakyrelu,Dense,1024,64,5,0.0,0.8498583240271068,1.0629770755767822,1.149091362953186,svae,wall-following-robot
32,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9493543292333305,1.0531457662582397,1.1661843061447144,svae,wall-following-robot
