hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset
32,8,3,relu,Dense,32,16,0.05,1,0.45,0.9213774260410779,0.24380655762097336,0.33251411214795845,0.8954211418880722,0.5714285714285714,0.13793103448275862,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,2,0.4,0.928208027133974,0.24380655762097336,0.33251411214795845,0.8954211418880722,0.5714285714285714,0.13793103448275862,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,3,0.45454545454545453,0.9247220651969097,0.24380655762097336,0.33251411214795845,0.8954211418880722,0.5714285714285714,0.13793103448275862,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,4,0.2916666666666667,0.945543621631807,0.24380655762097336,0.33251411214795845,0.8954211418880722,0.5714285714285714,0.13793103448275862,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,5,0.4444444444444444,0.946768419069154,0.24380655762097336,0.33251411214795845,0.8954211418880722,0.5714285714285714,0.13793103448275862,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,1,0.17777777777777778,0.9088939136988883,0.22239291342072406,0.2757103487181764,0.5995383455813077,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,2,0.23255813953488372,0.9326361409459205,0.22239291342072406,0.2757103487181764,0.5995383455813077,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,3,0.23076923076923078,0.9385716977576785,0.22239291342072406,0.2757103487181764,0.5995383455813077,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,4,0.24561403508771928,0.938760128132655,0.22239291342072406,0.2757103487181764,0.5995383455813077,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,5,0.24615384615384617,0.9325419257584322,0.22239291342072406,0.2757103487181764,0.5995383455813077,1.0,0.10344827586206896,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,1,0.10810810810810811,0.831072168833616,0.2353281284098463,0.3175968852809588,0.5488976823063877,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,2,0.14634146341463414,0.8420011305822499,0.2353281284098463,0.3175968852809588,0.5488976823063877,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,3,0.13953488372093023,0.8355944978330507,0.2353281284098463,0.3175968852809588,0.5488976823063877,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,4,0.2,0.8330506877708687,0.2353281284098463,0.3175968852809588,0.5488976823063877,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,32,16,0.05,5,0.3,0.8512342189560957,0.2353281284098463,0.3175968852809588,0.5488976823063877,NaN,0.0,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,1,0.0,0.8522705860184663,0.23845849608147868,0.29726367054785735,0.8791219144526099,0.8,0.41379310344827586,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,2,0.09302325581395349,0.8803467118899567,0.23845849608147868,0.29726367054785735,0.8791219144526099,0.8,0.41379310344827586,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,3,0.21739130434782608,0.9403617863199547,0.23845849608147868,0.29726367054785735,0.8791219144526099,0.8,0.41379310344827586,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,4,0.2222222222222222,0.9221782551347276,0.23845849608147868,0.29726367054785735,0.8791219144526099,0.8,0.41379310344827586,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,5,0.18604651162790697,0.894808743169399,0.23845849608147868,0.29726367054785735,0.8791219144526099,0.8,0.41379310344827586,0.05,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,1,0.16216216216216217,0.8414358394573206,0.23194150554031562,0.2873369931359758,0.7026568682871679,1.0,0.13793103448275862,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,2,0.2564102564102564,0.8952327115130959,0.23194150554031562,0.2873369931359758,0.7026568682871679,1.0,0.13793103448275862,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,3,0.2727272727272727,0.873751648765781,0.23194150554031562,0.2873369931359758,0.7026568682871679,1.0,0.13793103448275862,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,4,0.3111111111111111,0.8987657810439043,0.23194150554031562,0.2873369931359758,0.7026568682871679,1.0,0.13793103448275862,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,5,0.4166666666666667,0.9190691539476163,0.23194150554031562,0.2873369931359758,0.7026568682871679,1.0,0.13793103448275862,0.01,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,1,0.43243243243243246,0.8988128886376483,0.26714679700101057,0.34823139888945714,0.6171094780478613,1.0,0.06896551724137931,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,2,0.11764705882352941,0.8859054079517616,0.26714679700101057,0.34823139888945714,0.6171094780478613,1.0,0.06896551724137931,0.005,1,svae,cardiotocography
32,8,3,relu,Dense,128,16,0.05,3,0.17142857142857143,0.9190691539476165,0.26714679700101057,0.34823139888945714,0.6171094780478613,1.0,0.06896551724137931,0.005,1,svae,cardiotocography
