hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,model,dataset
32,8,3,relu,Dense,512,16,0.05,5,0.4,0.9964788732394366,0.12465092203029977,0.1879942503679534,1.0,1.0,0.5,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,1,0.0,0.5,0.11739418954269781,0.15771018066302864,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,2,0.0,0.5,0.11739418954269781,0.15771018066302864,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,3,0.0,0.47887323943661975,0.11739418954269781,0.15771018066302864,0.5,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,512,16,0.05,1,0.0,1.0,0.10316207543846949,0.13787718039347832,0.5,NaN,0.0,0.005,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,1,0.4,0.926056338028169,0.11114599500169373,0.13415394004791692,0.9841549295774649,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,2,0.6666666666666666,0.9753521126760564,0.11114599500169373,0.13415394004791692,0.9841549295774649,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,3,0.6666666666666666,0.9859154929577465,0.11114599500169373,0.13415394004791692,0.9841549295774649,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,4,0.6666666666666666,1.0,0.11114599500169373,0.13415394004791692,0.9841549295774649,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,5,0.6666666666666666,0.9859154929577465,0.11114599500169373,0.13415394004791692,0.9841549295774649,0.0,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,1,1.0,1.0,0.11216974765029619,0.15232238238714366,1.0,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,2,0.6666666666666666,0.9859154929577465,0.11216974765029619,0.15232238238714366,1.0,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,3,1.0,1.0,0.11216974765029619,0.15232238238714366,1.0,NaN,0.0,0.01,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,32,32,0.05,1,1.0,0.9859154929577465,0.1050947064201423,0.13567328742733867,0.5,NaN,0.0,0.005,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,1,0.4,0.9119718309859155,0.11284899805754998,0.1555228481642397,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,2,0.4,0.982394366197183,0.11284899805754998,0.1555228481642397,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,3,0.0,0.9295774647887324,0.11284899805754998,0.1555228481642397,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.05,4,0.0,0.9295774647887324,0.11284899805754998,0.1555228481642397,0.8732394366197184,NaN,0.0,0.05,svae,breast-cancer-wisconsin
