hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,auc,auc2,ar,i,model,dataset
32,8,3,relu,Dense,1024,16,0.1,2,0.6973684210526316,0.6912527798369162,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.7894736842105263,0.7894736842105263,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.763157894736842,0.7479614529280949,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,5,0.8157894736842105,0.8232023721275018,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,6,0.881578947368421,0.9065974796145293,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,7,0.8552631578947368,0.9166048925129725,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,8,0.8888065233506302,0.8787991104521867,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,9,0.8947368421052632,0.9273535952557451,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,10,0.8780578206078576,0.897887323943662,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.75,0.6842105263157895,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.75,0.763157894736842,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.8289473684210527,0.8131949592290585,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.7057079318013343,0.7763157894736843,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.8986286137879911,0.9342105263157895,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9458858413639735,0.9736842105263157,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9590437361008155,0.9540400296515938,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,4,0.93587842846553,0.991475166790215,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,5,0.9707190511489994,0.9792438843587843,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,6,0.9781319495922907,0.9940696812453669,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,7,0.9873980726464047,0.991475166790215,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,8,0.9723869532987399,0.9892512972572276,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,9,0.994810971089696,0.9885100074128984,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,10,0.9922164566345442,0.9948109710896962,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.8254262416604893,0.8026315789473684,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.8365455893254263,0.8767605633802817,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.9659006671608599,0.8975166790214975,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.6050778354336546,0.670126019273536,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5856189770200148,0.5848776871756857,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.8289473684210527,0.8172720533728688,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.7939214232765012,0.8480355819125278,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,4,0.9169755374351372,0.8491475166790214,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,5,0.8825055596738324,0.8928836174944403,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,6,0.8876945885841365,0.9143810229799852,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,7,0.9343958487768719,0.9040029651593774,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,8,0.9206819866567828,0.9047442550037066,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,9,0.9508895478131949,0.916234247590808,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,10,0.9555226093402521,0.929948109710897,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.763157894736842,0.7236842105263158,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,2,0.8289473684210527,0.8026315789473684,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,3,0.8421052631578947,0.8157894736842105,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,1024,16,0.1,1,0.5,0.7368421052631579,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.6749444032616754,0.5528169014084506,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.8309859154929577,0.7462935507783544,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.8780578206078576,0.8328391401037807,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,4,0.8417346182357301,0.8650852483320979,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,5,0.8817642698295034,0.9343958487768718,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,6,0.9444032616753151,0.9725722757598222,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,7,0.9710896960711639,0.9918458117123795,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,8,0.9562638991845811,0.988139362490734,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,9,0.9592290585618978,0.9859154929577465,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,10,0.9766493699036323,1.0,0.05,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.953484062268347,0.9117865085248332,0.01,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,2,0.9230911786508524,0.9421793921423277,0.01,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,3,0.948480355819125,0.9481097108969607,0.01,4,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,16,0.1,1,0.849518161601186,0.7698295033358042,0.005,4,svae,breast-cancer-wisconsin
