hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,ar,i,model,dataset
32,3,3,relu,Dense,0.1,lklh,3,0.9177168272794662,0.01,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9199406968124536,0.01,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.929948109710897,0.005,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9440326167531504,0.005,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.8784284655300223,0.05,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.8839881393624908,0.05,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.8802816901408451,0.05,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.8914010378057821,0.05,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,5,0.8969607116382505,0.05,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.9562638991845811,0.01,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.9540400296515938,0.01,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,3,0.9525574499629355,0.01,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,4,0.9514455151964418,0.01,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,1,0.8143068939955523,0.005,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,wass,2,0.7883617494440327,0.005,3,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.9425500370644921,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.9532987398072647,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,3,0.9503335804299481,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,4,0.9347664936990363,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,5,0.946997776130467,0.05,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,1,0.7457375833951074,0.01,4,svae,breast-cancer-wisconsin
32,3,3,relu,Dense,0.1,lklh,2,0.7790956263899185,0.01,4,svae,breast-cancer-wisconsin
