hidden,latent,layers,nonlinearity,layertype,β,anomaliesSeen,auc,aucpxv,ar,i,α,model,dataset
32,8,3,relu,Dense,0.1,2,0.9025522041763341,0.9814385150812065,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,3,0.9025522041763341,0.9814385150812065,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,4,0.9002320185614849,0.9814385150812065,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,5,0.8979118329466358,0.9814385150812065,0.05,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,1,0.8839907192575406,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,2,0.8863109048723898,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,3,0.8863109048723898,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,4,0.8909512761020881,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,5,0.9002320185614849,0.9860788863109049,0.05,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,1,0.9396751740139211,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,2,0.9443155452436195,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,3,0.9443155452436195,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,4,0.9466357308584686,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,5,0.9466357308584686,0.988399071925754,0.01,1,0.25,svae,abalone
32,8,3,relu,Dense,0.1,1,0.8491879350348028,0.9860788863109049,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,2,0.8491879350348028,0.9860788863109049,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,3,0.851508120649652,0.9860788863109049,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,4,0.8538283062645011,0.9860788863109049,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,5,0.8607888631090488,0.9860788863109049,0.01,1,0.5,svae,abalone
32,8,3,relu,Dense,0.1,1,0.8677494199535962,0.9837587006960556,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,2,0.8607888631090488,0.9837587006960556,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,3,0.8607888631090488,0.9837587006960556,0.01,1,0.75,svae,abalone
32,8,3,relu,Dense,0.1,4,0.8584686774941995,0.9837587006960556,0.01,1,0.75,svae,abalone
