hidden,latent,layers,nonlinearity,layertype,memorysize,k,anomaliesSeen,f1,auc,rsTrn,rsTst,model,dataset
32,2,3,leakyrelu,Dense,1024,64,5,0.0,0.7395833333333336,15.938530921936035,16.868999481201172,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,1,0.0,0.9722222222222224,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,2,0.4,0.9930555555555558,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,3,0.0,0.916666666666667,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,4,0.0,0.965277777777778,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
16,4,3,leakyrelu,Dense,1024,64,5,0.0,0.9618055555555559,12.682150840759277,14.166580200195312,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,1,0.0,1.0000000000000004,12.776556968688965,14.37767219543457,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,2,0.0,0.9895833333333336,12.776556968688965,14.37767219543457,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,3,0.0,0.9687500000000004,12.776556968688965,14.37767219543457,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,4,0.0,0.9375000000000004,12.776556968688965,14.37767219543457,vae,breast-cancer-wisconsin
32,4,3,leakyrelu,Dense,1024,64,5,0.0,0.9513888888888892,12.776556968688965,14.37767219543457,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,1,0.0,0.9722222222222224,13.242470741271973,15.068689346313477,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,2,0.0,0.9270833333333337,13.242470741271973,15.068689346313477,vae,breast-cancer-wisconsin
16,16,3,leakyrelu,Dense,1024,64,3,0.0,0.8576388888888893,13.242470741271973,15.068689346313477,vae,breast-cancer-wisconsin
