dataset,prname,k,auc,anom_ratio
blood-transfusion,px_γ,3,0.9697916666666666,0.005
blood-transfusion,px_κ,5,0.9723958333333332,0.005
blood-transfusion,px_δ,5,0.8109375,0.005
blood-transfusion,px_γ,5,0.971875,0.005
blood-transfusion,px_κ,9,0.9713541666666666,0.005
blood-transfusion,px_δ,9,0.8250000000000002,0.005
blood-transfusion,px_γ,9,0.9723958333333332,0.005
blood-transfusion,px_κ,15,0.9739583333333333,0.005
blood-transfusion,px_δ,15,0.6703125,0.005
blood-transfusion,px_γ,15,0.9729166666666667,0.005
blood-transfusion,px_κ,21,0.971875,0.005
blood-transfusion,px_δ,21,0.4921874999999999,0.005
blood-transfusion,px_γ,21,0.9734374999999998,0.005
blood-transfusion,px_κ,29,0.9692708333333332,0.005
blood-transfusion,px_δ,29,0.4651041666666667,0.005
blood-transfusion,px_γ,29,0.971875,0.005
blood-transfusion,px_κ,39,0.9682291666666666,0.005
blood-transfusion,px_δ,39,0.5869791666666666,0.005
blood-transfusion,px_γ,39,0.9708333333333332,0.005
breast-cancer-wisconsin,px_κ,1,0.8726990198422186,0.05
breast-cancer-wisconsin,px_δ,1,0.42244800382500597,0.05
breast-cancer-wisconsin,px_γ,1,0.8726990198422186,0.05
breast-cancer-wisconsin,px_κ,3,0.9004542194597178,0.05
breast-cancer-wisconsin,px_δ,3,0.257183839349749,0.05
breast-cancer-wisconsin,px_γ,3,0.8938560841501315,0.05
breast-cancer-wisconsin,px_κ,5,0.9052593832177862,0.05
breast-cancer-wisconsin,px_δ,5,0.20463781974659337,0.05
breast-cancer-wisconsin,px_γ,5,0.9003825005976573,0.05
breast-cancer-wisconsin,px_κ,9,0.9131006454697586,0.05
breast-cancer-wisconsin,px_δ,9,0.23542911785799664,0.05
breast-cancer-wisconsin,px_γ,9,0.9066698541716471,0.05
breast-cancer-wisconsin,px_κ,15,0.9162323691130769,0.05
breast-cancer-wisconsin,px_δ,15,0.35928759263686344,0.05
breast-cancer-wisconsin,px_γ,15,0.9111881424814726,0.05
breast-cancer-wisconsin,px_κ,21,0.9169495577336839,0.05
breast-cancer-wisconsin,px_δ,21,0.4316280181687784,0.05
breast-cancer-wisconsin,px_γ,21,0.9132918957685872,0.05
