hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,ar,i,model,dataset
32,8,3,relu,Dense,64,64,0.1,7,0.5454545454545454,0.9911045218680504,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,8,0.5925925925925926,0.9885100074128985,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,9,0.7,0.9759080800593032,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,10,0.7419354838709677,0.992216456634544,0.1117488817704797,0.2710752468046193,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.2727272727272727,0.9536693847294292,0.10645349290551781,0.3477693219488011,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,2,0.5098039215686274,0.9684951816160119,0.10645349290551781,0.3477693219488011,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,3,0.6896551724137931,0.9870274277242401,0.10645349290551781,0.3477693219488011,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,4,0.6428571428571429,0.9755374351371386,0.10645349290551781,0.3477693219488011,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.23255813953488372,0.9807264640474426,0.11653290537368853,0.4750301469695698,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,2,0.3333333333333333,0.8936249073387694,0.11653290537368853,0.4750301469695698,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,1,0.05128205128205128,0.9458858413639734,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,2,0.19047619047619047,0.9677538917716827,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,3,0.14634146341463414,0.9762787249814676,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,4,0.34782608695652173,0.9859154929577465,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,5,0.3829787234042553,0.9844329132690882,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,6,0.4489795918367347,0.9877687175685693,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,7,0.5384615384615384,0.9699777613046702,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,8,0.44,0.9677538917716828,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,9,0.5185185185185185,0.9573758339510748,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,10,0.5660377358490566,0.971830985915493,0.1320665839838436,0.32062023449750415,0.05,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,1,0.2727272727272727,0.9725722757598221,0.10309163338423384,0.44017146250036676,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,2,0.40816326530612246,0.9547813194959229,0.10309163338423384,0.44017146250036676,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,3,0.40816326530612246,0.9677538917716827,0.10309163338423384,0.44017146250036676,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,4,0.49056603773584906,0.9595997034840622,0.10309163338423384,0.44017146250036676,0.01,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,1,0.14634146341463414,0.9236471460340993,0.10880990879375377,0.2997845565654884,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,2,0.34782608695652173,0.9647887323943662,0.10880990879375377,0.2997845565654884,0.005,1,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.23255813953488372,0.9836916234247592,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.2727272727272727,0.9588584136397331,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,3,0.47058823529411764,0.9369903632320237,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,4,0.5283018867924528,0.9614529280948851,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,5,0.49056603773584906,0.9403261675315048,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,6,0.7096774193548387,0.9603409933283914,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,7,0.6551724137931034,0.9799851742031134,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,8,0.7213114754098361,0.9588584136397331,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,9,0.7384615384615385,0.9722016308376575,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,10,0.7419354838709677,0.9718309859154929,0.11256710473042592,0.2252394685986848,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.23255813953488372,0.945144551519644,0.0972299779608859,0.3294593955456826,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.3111111111111111,0.9180874722016308,0.0972299779608859,0.3294593955456826,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,3,0.4166666666666667,0.9803558191252779,0.0972299779608859,0.3294593955456826,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,4,0.5185185185185185,0.969236471460341,0.0972299779608859,0.3294593955456826,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.5384615384615384,0.9851742031134174,0.10366110712557561,0.33730705661043403,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.5283018867924528,0.9888806523350631,0.10366110712557561,0.33730705661043403,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.05128205128205128,0.9418087472201631,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.3111111111111111,0.9595997034840623,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,3,0.40816326530612246,0.9684951816160119,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,4,0.5660377358490566,0.9814677538917717,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,5,0.5185185185185185,0.964047442550037,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,6,0.6181818181818182,0.9825796886582654,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,7,0.711864406779661,0.9870274277242401,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,8,0.8,0.9840622683469237,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,9,0.711864406779661,0.985544848035582,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,10,0.7213114754098361,0.9822090437361009,0.1045368498563816,0.21287095954592564,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.18604651162790697,0.8295033358042995,0.10413376127698777,0.28282020527425994,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.34782608695652173,0.928650852483321,0.10413376127698777,0.28282020527425994,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,3,0.44,0.9451445515196442,0.10413376127698777,0.28282020527425994,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,4,0.6551724137931034,0.9551519644180876,0.10413376127698777,0.28282020527425994,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.05,0.7520385470719052,0.09786652244765746,0.47611575232038705,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.14285714285714285,0.7462935507783545,0.09786652244765746,0.47611575232038705,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.19047619047619047,0.8320978502594515,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,2,0.3829787234042553,0.9277242401779096,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,3,0.5660377358490566,0.985544848035582,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,4,0.5660377358490566,0.9925871015567087,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,5,0.5,0.9918458117123796,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,6,0.5555555555555556,0.992216456634544,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,7,0.5660377358490566,0.994069681245367,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,8,0.5,0.9829503335804299,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,9,0.6428571428571429,0.9903632320237212,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,10,0.6206896551724138,0.9948109710896961,0.11305488208752694,0.23041067309725252,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.3829787234042553,0.9696071163825056,0.10384305838633208,0.32869790921716896,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,2,0.4489795918367347,0.9677538917716828,0.10384305838633208,0.32869790921716896,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,3,0.5925925925925926,0.9851742031134173,0.10384305838633208,0.32869790921716896,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,4,0.5384615384615384,0.963306152705708,0.10384305838633208,0.32869790921716896,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.3111111111111111,0.9229058561897702,0.10329513817430462,0.4151782649038581,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,2,0.22727272727272727,0.9014084507042253,0.10329513817430462,0.4151782649038581,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,1,0.14634146341463414,0.8165307635285397,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,2,0.14634146341463414,0.7499999999999999,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,3,0.23255813953488372,0.9688658265381764,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,4,0.3111111111111111,0.9503335804299481,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,5,0.34782608695652173,0.9540400296515937,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,6,0.3829787234042553,0.9280948851000741,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,7,0.4489795918367347,0.9614529280948851,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,8,0.34782608695652173,0.9262416604892513,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,9,0.5283018867924528,0.8999258710155671,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,10,0.5384615384615384,0.9573758339510748,0.12027212415675632,0.23672696586620415,0.05,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,1,0.1,0.868421052631579,0.10574614386165407,0.3471841896490479,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,2,0.34782608695652173,0.9332839140103779,0.10574614386165407,0.3471841896490479,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,3,0.3829787234042553,0.9570051890289103,0.10574614386165407,0.3471841896490479,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,4,0.4489795918367347,0.964047442550037,0.10574614386165407,0.3471841896490479,0.01,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,1,0.14634146341463414,0.9388435878428466,0.1049242918101314,0.3856650057843052,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,64,0.1,2,0.14634146341463414,0.9251297257227576,0.1049242918101314,0.3856650057843052,0.005,2,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.0,0.9766493699036324,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.19047619047619047,0.9974054855448481,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,3,0.4166666666666667,0.9725722757598221,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,4,0.34782608695652173,0.9733135656041512,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,5,0.34782608695652173,0.9681245366938473,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,6,0.5283018867924528,0.9547813194959229,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,7,0.6666666666666666,0.9903632320237212,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,8,0.6666666666666666,0.997405485544848,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,9,0.6428571428571429,0.9733135656041512,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,10,0.7333333333333333,0.9844329132690882,0.1146668352258408,0.22713853343298987,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.5384615384615384,0.9649740548554484,0.10439229857055435,0.3773565711431458,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.8125,0.9833209785025945,0.10439229857055435,0.3773565711431458,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,3,0.7419354838709677,0.9696071163825055,0.10439229857055435,0.3773565711431458,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,4,0.7619047619047619,0.9492216456634543,0.10439229857055435,0.3773565711431458,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,1,0.14634146341463414,0.8232023721275018,0.11985910297324562,0.54848321649968,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,32,0.1,2,0.46153846153846156,0.920126019273536,0.11985910297324562,0.54848321649968,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.14634146341463414,0.9230911786508526,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.19047619047619047,0.9206819866567828,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,3,0.2727272727272727,0.9280948851000742,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,4,0.5283018867924528,0.9510748702742773,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,5,0.5555555555555556,0.9840622683469236,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,6,0.5283018867924528,0.9573758339510748,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,7,0.631578947368421,0.96590066716086,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,8,0.6181818181818182,0.9785025945144551,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,9,0.6428571428571429,0.960711638250556,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,10,0.5818181818181818,0.9610822831727206,0.10993158299865037,0.2703210407111368,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.34782608695652173,0.9688658265381764,0.10072747592771554,0.33308799823690693,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.5384615384615384,0.9966641957005189,0.10072747592771554,0.33308799823690693,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,3,0.5660377358490566,0.9814677538917717,0.10072747592771554,0.33308799823690693,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,4,0.6181818181818182,0.9929577464788732,0.10072747592771554,0.33308799823690693,0.01,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,1,0.0975609756097561,0.8891771682727946,0.09747801908663288,0.4596575895641043,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,128,32,0.1,2,0.34782608695652173,0.8997405485544848,0.09747801908663288,0.4596575895641043,0.005,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.14634146341463414,0.9640474425500369,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,2,0.3404255319148936,0.958117123795404,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,3,0.19047619047619047,0.9414381022979985,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,4,0.2553191489361702,0.9466271312083024,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,5,0.2608695652173913,0.9810971089696071,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,6,0.2857142857142857,0.9662713120830244,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,7,0.33962264150943394,0.9755374351371386,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,8,0.4727272727272727,0.9859154929577465,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,9,0.5517241379310345,0.9729429206819866,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,10,0.5,0.9799851742031135,0.13263805062050474,0.27398382068015836,0.05,3,svae,breast-cancer-wisconsin
32,8,3,relu,Dense,64,64,0.1,1,0.34782608695652173,0.9773906597479614,0.10688919991272457,0.4250115457427976,0.01,3,svae,breast-cancer-wisconsin
