dataset,anom_ratio,anom_count,max_prob,max_mem,max,mean_prob,mean_mem,mean
statlog-satimage,0.01,5,0.983403978188401,0.9820793871558824,prob,0.9516636725390205,0.9370408774311766,prob
statlog-satimage,0.01,10,0.9816047420358964,0.9809479656489392,prob,0.9621062446188489,0.9557545201668987,prob
statlog-satimage,0.005,1,0.9742643000640219,0.9448473408835022,prob,0.860344055621785,0.7854408818464798,prob
statlog-satimage,0.005,5,0.9854322582069452,0.9804788396582556,prob,0.9573929426893611,0.9343709296421396,prob
statlog-satimage,0.005,10,0.9845188423074376,0.9869831335408525,mem,0.9659761546018502,0.9555124373578824,prob
statlog-segment,0.05,1,0.8604177614293221,0.7950823261516904,prob,0.6960109585741812,0.6182381984585742,prob
statlog-segment,0.05,5,0.9218558416535295,0.8276405675249606,prob,0.822616154317744,0.7308394640042039,prob
statlog-segment,0.05,10,0.9229724995620949,0.8911368015414258,prob,0.8403195612191275,0.8067749386932913,prob
statlog-segment,0.01,1,0.8293046067612541,0.724152653704677,prob,0.6718719894026974,0.5811936197232438,prob
statlog-segment,0.01,5,0.9336354878262393,0.906113154668068,prob,0.8110477973375373,0.7459094193378876,prob
statlog-segment,0.01,10,0.9324312489052373,0.9308766859344895,prob,0.852881415309161,0.8130889823086356,prob
statlog-segment,0.005,1,0.7634874759152216,0.7299439481520407,prob,0.6368757115957261,0.5644716675424768,prob
statlog-segment,0.005,5,0.9119591872482046,0.8704019968470836,prob,0.7992076655281135,0.7282432343667893,prob
waveform-1,0.05,1,0.9569494227908174,0.7434604930289201,prob,0.8181052692701238,0.6090145385151379,prob
waveform-1,0.05,5,0.9494855650623663,0.9353111405452571,prob,0.8782546091989378,0.8089842499419339,prob
waveform-1,0.05,10,0.9631577956196131,0.9660203011908274,mem,0.8922086176483512,0.8759954425898144,prob
waveform-1,0.01,1,0.9547523242164205,0.867853936886774,prob,0.8763600824853579,0.6522328798940369,prob
waveform-1,0.01,5,0.9740867916711131,0.951701495910258,prob,0.916354966384392,0.840368861463519,prob
waveform-1,0.01,10,0.9681044061242553,0.9682111223407261,mem,0.9332353531992895,0.8997707170702005,prob
waveform-1,0.005,1,0.9502514108511559,0.8498785318359584,prob,0.8644682864514348,0.6613051707145593,prob
waveform-1,0.005,5,0.9561584673040345,0.9576179684998838,mem,0.914315195761483,0.84873400041431,prob
waveform-1,0.005,10,0.9680416318792726,0.9764345484334688,mem,0.926698200262396,0.9112179145140334,prob
yeast,0.05,1,0.7815238095238096,0.8163809523809525,mem,0.6329738095238095,0.6293142857142858,prob
yeast,0.05,5,0.8430476190476192,0.8201904761904762,prob,0.7464238095238095,0.7631904761904762,mem
yeast,0.05,10,0.8552380952380952,0.8952380952380952,mem,0.7802571428571429,0.8066142857142855,mem
yeast,0.01,1,0.8083809523809524,0.8041904761904762,prob,0.6082428571428571,0.6506142857142856,mem
yeast,0.01,5,0.8601904761904762,0.8432380952380953,prob,0.7721,0.7577571428571428,prob
yeast,0.005,1,0.7794285714285714,0.8181904761904761,mem,0.6392904761904761,0.6279999999999999,prob
