hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,1.0,m1,0,0.5018696752657209,7,svae,abalone 
32,3,3,relu,Dense,10.0,wass,0,0.505486367763176,7,svae,abalone 
32,3,3,relu,Dense,10.0,m1,0,0.5091305723430206,7,svae,abalone 
32,3,3,relu,Dense,0.01,wass,0,0.5517301490455854,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.5302885034428659,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5790115924344112,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.5876405473720909,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5940033121241174,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.5899067375577443,1,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.606380196984224,1,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.588163514338011,1,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6107382550335572,1,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.5952235683779307,1,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5796217205613179,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.5917371219384642,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5521659548505186,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6159679246927569,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5784886254684912,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.611261221999477,2,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.5666347075743049,2,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.5928702170312908,2,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6161422470147303,2,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.5967053081147041,2,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5544321450361719,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6008018826810773,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5756123071559314,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6767192539004618,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.6088207094918504,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6784624771201953,3,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6091693541357971,3,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6792469275690753,3,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6476945872919027,3,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6983352218251547,3,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5673319968621982,4,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6414189837008628,4,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5701211540137715,4,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6602457944739824,4,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.6223306894447834,4,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6493506493506495,4,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6309596443824632,4,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6639937243964089,4,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6739300967488887,4,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6763706092565153,4,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5292425695110259,5,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.600104593393184,5,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5584415584415585,5,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6551904471367559,5,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.602196461256864,5,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6816874400767019,5,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.62712455329905,5,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6536215462389959,5,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6216334001568901,5,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6646910136843023,5,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5349952061361458,6,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6294779046456899,6,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5560882070949185,6,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6166652139806501,6,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5773555303756647,6,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6191057264882769,6,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.5946134402510241,6,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6395014381591564,6,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6223306894447833,6,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6388913100322497,6,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5502484093088119,7,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6535343850780093,7,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5900810598797176,7,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6329643510851566,7,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.6111740608384904,7,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6306109997385165,7,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6234637845376101,7,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6330515122461432,7,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6129172840582237,7,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6425520787936896,7,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5109387257038265,8,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6049856184084372,8,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5539963392312387,8,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.585548679508411,8,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5438856445567855,8,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6354920247537696,8,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.5444957726836922,8,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.5828466835178244,8,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.5655016124814782,8,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.5810162991371044,8,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5522531160115053,9,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6190185653272902,9,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.6282576483918766,9,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6547546413318225,9,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5902553822016908,9,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6714895842412621,9,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6034167175106774,9,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6514425172143294,9,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6573694761614224,9,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6618146953717423,9,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5980998866904907,10,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.5982742090124641,10,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5812777826200646,10,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.6827333740085418,10,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.6066416804671838,10,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6822104070426218,10,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6636450797524623,10,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6903163950143816,10,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6602457944739825,10,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6849124030332084,10,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5452802231325722,11,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6434236904035562,11,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5439728057177721,11,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.5960951799877974,11,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5770940468927046,11,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.5909526714895842,11,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6468229756820361,11,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6181469537174236,11,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.610215288067637,11,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6169266974636102,11,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5281094744181992,12,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6745402248757953,12,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5590516865684652,12,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.654144513204916,12,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.585025712542491,12,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6500479386385427,12,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6639065632354223,12,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6593741828641158,12,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.650483744443476,12,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6445567854963828,12,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.5343850780092391,13,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,m1,0,0.6611174060838491,13,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,wass,0,0.5781399808245445,13,svae,blood-transfusion 
32,3,3,relu,Dense,0.1,m1,0,0.661378889566809,13,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,wass,0,0.5899938987187309,13,svae,blood-transfusion 
32,3,3,relu,Dense,0.5,m1,0,0.6671315261919288,13,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,wass,0,0.6279961649089165,13,svae,blood-transfusion 
32,3,3,relu,Dense,1.0,m1,0,0.6703564891484355,13,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,wass,0,0.6274731979429966,13,svae,blood-transfusion 
32,3,3,relu,Dense,10.0,m1,0,0.6630349516255557,13,svae,blood-transfusion 
32,3,3,relu,Dense,0.01,wass,0,0.9541205897840968,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9224591890468667,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.954844655081622,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9326619273301737,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9237098472880463,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.938454449710374,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9257503949447077,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9418114797261716,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.936216429699842,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9376645602948921,1,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.9382569773565035,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9218009478672986,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9492496050552922,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.919431279620853,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.904884149552396,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9113349131121643,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9094260136914166,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9087019483938916,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9163375460768826,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9100842548709847,2,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.9597814639283834,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9117298578199052,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9641916798314902,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.943852027382833,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9577409162717219,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9460242232754081,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9421406003159558,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.941350710900474,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9200895208004213,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9414165350184308,3,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.9549104791995787,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9282517114270669,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9558320168509743,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9327277514481306,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9492496050552922,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9506977356503422,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9592548709847287,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9359531332280148,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9393101632438126,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9414165350184308,4,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.9257503949447077,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9063981042654028,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9339125855713533,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9160742496050552,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9401000526592943,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9087677725118484,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9243680884676145,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9231832543443917,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9226566614007372,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9189046866771984,5,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.951882569773565,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.8847419694576093,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9275276461295419,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9223275408109531,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9510268562401264,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9377962085308057,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9453659820958399,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9392443391258557,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.8948130595050026,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9221300684570826,6,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.9349657714586624,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.92673775671406,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9570826750921537,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9214718272775144,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9452343338599263,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9372037914691943,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.957740916271722,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9254212743549236,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9321353343865192,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9448393891521853,7,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.9218009478672986,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9098209583991574,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9645208004212743,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9305555555555555,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.934373354397051,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9268035808320169,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9438520273828331,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9383886255924171,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9429963138493943,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.92673775671406,8,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.962809373354397,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9262111637704055,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.962809373354397,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9379278567667194,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9571484992101106,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9358214849921012,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9154160084254871,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9322669826224329,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9310163243812533,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9379278567667193,9,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.9624802527646129,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9410874144286466,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9450368615060557,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9446419167983149,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,wass,0,0.9556345444971037,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.5,m1,0,0.9361506055818851,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,wass,0,0.9524091627172196,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,1.0,m1,0,0.9507635597682991,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,wass,0,0.9419431279620853,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,10.0,m1,0,0.9391126908899421,10,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,wass,0,0.957740916271722,11,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.01,m1,0,0.9375329120589784,11,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,wass,0,0.9605055292259085,11,svae,breast-cancer-wisconsin 
32,3,3,relu,Dense,0.1,m1,0,0.9382569773565034,11,svae,breast-cancer-wisconsin 
