hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,1.0,wass,0,0.9672777777777777,1,svae,isolet 1-16
32,3,3,relu,Dense,0.01,m1,0,0.9854444444444445,1,svae,isolet 1-16
32,3,3,relu,Dense,0.1,wass,0,0.9878888888888889,1,svae,isolet 1-17
32,3,3,relu,Dense,-1.0,m1,0,0.9888888888888889,1,svae,isolet 1-17
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,isolet 1-18
32,3,3,relu,Dense,-1.0,m1,0,1.0,1,svae,isolet 1-18
32,3,3,relu,Dense,0.1,wass,0,0.8394888553195425,1,svae,letter-recognition U-T
32,3,3,relu,Dense,0.01,m1,0,0.8521903998520208,1,svae,letter-recognition U-T
32,3,3,relu,Dense,0.5,wass,0,0.7637589891520741,1,svae,letter-recognition U-I
32,3,3,relu,Dense,0.01,m1,0,0.8554747491163206,1,svae,letter-recognition U-I
32,3,3,relu,Dense,1.0,wass,0,0.7347254505963495,1,svae,letter-recognition U-D
32,3,3,relu,Dense,0.01,m1,0,0.6706855161376367,1,svae,letter-recognition U-D
32,3,3,relu,Dense,0.01,wass,0,0.7320828338387044,1,svae,letter-recognition U-N
32,3,3,relu,Dense,0.01,m1,0,0.5855644093427042,1,svae,letter-recognition U-N
32,3,3,relu,Dense,0.1,wass,0,0.8436098699196025,1,svae,letter-recognition U-G
32,3,3,relu,Dense,0.01,m1,0,0.9170548972610892,1,svae,letter-recognition U-G
32,3,3,relu,Dense,10.0,wass,0,0.6704504445392212,1,svae,letter-recognition U-S
32,3,3,relu,Dense,1.0,m1,0,0.6912584888947213,1,svae,letter-recognition U-S
32,3,3,relu,Dense,0.1,wass,0,0.7397203222861171,1,svae,letter-recognition U-B
32,3,3,relu,Dense,0.01,m1,0,0.4415415912476573,1,svae,letter-recognition U-B
32,3,3,relu,Dense,0.01,wass,0,0.8917477275731492,1,svae,letter-recognition U-A
32,3,3,relu,Dense,0.01,m1,0,0.9043209156577791,1,svae,letter-recognition U-A
32,3,3,relu,Dense,0.01,wass,0,0.8341751463933443,1,svae,letter-recognition U-J
32,3,3,relu,Dense,0.01,m1,0,0.7531886236151148,1,svae,letter-recognition U-J
32,3,3,relu,Dense,0.01,wass,0,0.8719170229906427,1,svae,letter-recognition U-M
32,3,3,relu,Dense,0.01,m1,0,0.8342163970998326,1,svae,letter-recognition U-M
32,3,3,relu,Dense,10.0,wass,0,0.6553113867213383,1,svae,letter-recognition U-X
32,3,3,relu,Dense,0.01,m1,0,0.7153748411689962,1,svae,letter-recognition U-X
32,3,3,relu,Dense,0.1,wass,0,0.6726957201867377,1,svae,letter-recognition U-O
32,3,3,relu,Dense,0.01,m1,0,0.8812357930242223,1,svae,letter-recognition U-O
32,3,3,relu,Dense,0.1,wass,0,0.8095326739725138,1,svae,letter-recognition U-R
32,3,3,relu,Dense,0.01,m1,0,0.5657364391278308,1,svae,letter-recognition U-R
32,3,3,relu,Dense,10.0,wass,0,0.8171066693053631,1,svae,letter-recognition U-F
32,3,3,relu,Dense,0.01,m1,0,0.7556778151593113,1,svae,letter-recognition U-F
32,3,3,relu,Dense,0.1,wass,0,0.8310216057615365,1,svae,letter-recognition U-C
32,3,3,relu,Dense,0.01,m1,0,0.8576787143238196,1,svae,letter-recognition U-C
32,3,3,relu,Dense,0.1,wass,0,0.6671737349760117,1,svae,letter-recognition U-H
32,3,3,relu,Dense,0.01,m1,0,0.5834071647080457,1,svae,letter-recognition U-H
32,3,3,relu,Dense,0.01,wass,0,0.9416666666666667,1,svae,libras 1-2
32,3,3,relu,Dense,0.01,m1,0,0.5750000000000001,1,svae,libras 1-2
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,libras 1-3
32,3,3,relu,Dense,0.01,m1,0,0.8416666666666667,1,svae,libras 1-3
32,3,3,relu,Dense,-1.0,wass,0,1.0,1,svae,libras 1-4
