hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,i,model,dataset
32,3,3,relu,Dense,0.01,wass,0,0.9252592592592593,1,svae,isolet 1-16
32,3,3,relu,Dense,0.01,m1,0,0.9607037037037037,1,svae,isolet 1-16
32,3,3,relu,Dense,0.01,wass,0,0.9874444444444445,1,svae,isolet 1-17
32,3,3,relu,Dense,0.01,m1,0,0.9873333333333334,1,svae,isolet 1-17
32,3,3,relu,Dense,0.01,wass,0,1.0,1,svae,isolet 1-18
32,3,3,relu,Dense,0.01,m1,0,1.0,1,svae,isolet 1-18
32,3,3,relu,Dense,0.01,wass,0,0.7892196154597116,1,svae,letter-recognition U-T
32,3,3,relu,Dense,0.01,m1,0,0.7907096833862566,1,svae,letter-recognition U-T
32,3,3,relu,Dense,0.01,wass,0,0.6871301073958206,1,svae,letter-recognition U-I
32,3,3,relu,Dense,0.01,m1,0,0.833879115372635,1,svae,letter-recognition U-I
32,3,3,relu,Dense,0.01,wass,0,0.6905714539750282,1,svae,letter-recognition U-D
32,3,3,relu,Dense,0.01,m1,0,0.6125544589668356,1,svae,letter-recognition U-D
32,3,3,relu,Dense,0.01,wass,0,0.704463719060715,1,svae,letter-recognition U-N
32,3,3,relu,Dense,0.01,m1,0,0.5751435802207961,1,svae,letter-recognition U-N
32,3,3,relu,Dense,0.01,wass,0,0.79745606446612,1,svae,letter-recognition U-G
32,3,3,relu,Dense,0.01,m1,0,0.9122612084222891,1,svae,letter-recognition U-G
32,3,3,relu,Dense,0.01,wass,0,0.4457476242030554,1,svae,letter-recognition U-S
32,3,3,relu,Dense,0.01,m1,0,0.6784226239296611,1,svae,letter-recognition U-S
32,3,3,relu,Dense,0.01,wass,0,0.6619386289491529,1,svae,letter-recognition U-B
32,3,3,relu,Dense,0.01,m1,0,0.33181160464954856,1,svae,letter-recognition U-B
32,3,3,relu,Dense,0.01,wass,0,0.8346901801612665,1,svae,letter-recognition U-A
32,3,3,relu,Dense,0.01,m1,0,0.8009672879392257,1,svae,letter-recognition U-A
32,3,3,relu,Dense,0.01,wass,0,0.7730170853831139,1,svae,letter-recognition U-J
32,3,3,relu,Dense,0.01,m1,0,0.7179994689049313,1,svae,letter-recognition U-J
32,3,3,relu,Dense,0.01,wass,0,0.8248538555287022,1,svae,letter-recognition U-M
32,3,3,relu,Dense,0.01,m1,0,0.78493265993266,1,svae,letter-recognition U-M
32,3,3,relu,Dense,0.01,wass,0,0.4008127989855604,1,svae,letter-recognition U-X
32,3,3,relu,Dense,0.01,m1,0,0.7041053104772595,1,svae,letter-recognition U-X
32,3,3,relu,Dense,0.01,wass,0,0.64019857855558,1,svae,letter-recognition U-O
