hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,fc,aucpxv,aucf2,aucf3,ar,i,κ,anom_disc,model,dataset
32,8,3,relu,Dense,128,0,0.01,40,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,41,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,42,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,43,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,44,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,45,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,46,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,47,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,48,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,49,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,50,1.0,1.0,1.0,0.05,1,3.0,2,svae,abalone
32,8,3,relu,Dense,128,0,0.01,1,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,2,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,3,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,4,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,5,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,6,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,7,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,8,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,9,1.0,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,128,0,0.01,10,1.0,1.0,1.0,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,128,0,0.01,11,1.0,1.0,1.0,0.05,1,5.0,1,svae,abalone
