hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,Column1,mean auc,std auc,mean knnauc,std auc2
32,8,3,relu,Dense,32,16,0.1,4,0.4,0.9193518,0.276559319,0.391315258,0.644808743,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.464285714,0.92717166,0.252991652,0.398567812,0.614754098,0.666666667,0.068965517,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.382022472,0.883078952,0.246031161,0.300122003,0.530478613,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.280701754,0.912379876,0.221234794,0.259407988,0.566139062,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.305084746,0.866402864,0.270355235,0.345957332,0.549180328,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.303030303,0.891652534,0.192645036,0.225978253,0.548803467,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.333333333,0.884115319,0.263006885,0.246703889,0.580177125,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.349206349,0.851705295,0.240072933,0.286348662,0.566233277,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.533333333,0.920482382,0.194479701,0.241852115,0.632843414,1,0.034482759,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.405797101,0.884680611,0.209807641,0.253777416,0.616355757,NaN,0,0.005,1,svae,cardiotocography,Better,0.895458828,0.029847739,0.584977388,0.039484972
32,8,3,relu,Dense,32,16,0.1,5,0.375,0.92736009,0.276559319,0.391315258,0.644808743,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.328358209,0.900885623,0.252991652,0.398567812,0.614754098,0.666666667,0.068965517,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.355140187,0.873374788,0.246031161,0.300122003,0.530478613,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.393939394,0.8970228,0.221234794,0.259407988,0.566139062,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.349206349,0.911060863,0.270355235,0.345957332,0.549180328,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.337662338,0.904560015,0.192645036,0.225978253,0.548803467,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.305555556,0.874693801,0.263006885,0.246703889,0.580177125,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.272727273,0.837761447,0.240072933,0.286348662,0.566233277,NaN,0,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.430379747,0.943188242,0.194479701,0.241852115,0.632843414,1,0.034482759,0.005,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,1,0.4,0.916195591,0.278811488,0.331877831,0.67816092,1,0.103448276,0.01,1,svae,cardiotocography,Better,0.7869088,0.155805133,0.658832674,0.042401964
32,8,3,relu,Dense,32,16,0.1,1,0.105263158,0.904560015,0.217845172,0.29512885,0.697239495,1,0.137931034,0.01,1,svae,cardiotocography,Better,,,,
