"hidden","latent","layers","nonlinearity","layertype","memorysize","k","β","anomaliesSeen","f1","auc","rsTrn","rsTst","knnauc","knnprec","knnrecall","model","dataset"
32,2,3,"relu","Dense",1024,16,0.01,1,0.1694915254237288,0.8993699036323202,0.4051641438608323,0.5783400304517496,0.8936249073387695,0.625,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,2,0.208955223880597,0.88472942920682,0.4051641438608323,0.5783400304517496,0.8936249073387695,0.625,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,3,0.24615384615384617,0.9073387694588585,0.4051641438608323,0.5783400304517496,0.8936249073387695,0.625,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,4,0.2727272727272727,0.9054855448480356,0.4051641438608323,0.5783400304517496,0.8936249073387695,0.625,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.01,5,0.1,0.8967753891771683,0.4051641438608323,0.5783400304517496,0.8936249073387695,0.625,0.13157894736842105,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,1,0.3055555555555556,0.9770200148257969,0.23112605031123423,0.317198595832662,0.9823943661971832,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,2,0.34782608695652173,0.957375833951075,0.23112605031123423,0.317198595832662,0.9823943661971832,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,3,0.13793103448275862,0.9495922905856189,0.23112605031123423,0.317198595832662,0.9823943661971832,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,4,0.2465753424657534,0.9558932542624164,0.23112605031123423,0.317198595832662,0.9823943661971832,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.01,5,0.3013698630136986,0.957375833951075,0.23112605031123423,0.317198595832662,0.9823943661971832,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,1,0.3188405797101449,0.9820237212750187,0.1639458047348779,0.23492626891752388,0.9844329132690882,0.8888888888888888,0.21052631578947367,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,2,0.4225352112676056,0.9944403261675315,0.1639458047348779,0.23492626891752388,0.9844329132690882,0.8888888888888888,0.21052631578947367,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,3,0.35443037974683544,0.9773906597479614,0.1639458047348779,0.23492626891752388,0.9844329132690882,0.8888888888888888,0.21052631578947367,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,4,0.3835616438356164,0.986286137879911,0.1639458047348779,0.23492626891752388,0.9844329132690882,0.8888888888888888,0.21052631578947367,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.01,5,0.3055555555555556,0.9881393624907339,0.1639458047348779,0.23492626891752388,0.9844329132690882,0.8888888888888888,0.21052631578947367,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,1,0.2631578947368421,0.9603409933283913,0.40634906387153924,0.5223899630266201,0.9583024462564862,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,2,0.3287671232876712,0.9855448480355818,0.40634906387153924,0.5223899630266201,0.9583024462564862,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,3,0.2857142857142857,0.9696071163825054,0.40634906387153924,0.5223899630266201,0.9583024462564862,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,4,0.4117647058823529,0.9723869532987398,0.40634906387153924,0.5223899630266201,0.9583024462564862,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,2,3,"relu","Dense",1024,16,0.05,5,0.26666666666666666,0.9618235730170497,0.40634906387153924,0.5223899630266201,0.9583024462564862,0.875,0.18421052631578946,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,1,0.35135135135135137,0.9618235730170497,0.2385910668667387,0.3624123448761734,0.9607116382505558,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,2,0.34285714285714286,0.9805411415863604,0.2385910668667387,0.3624123448761734,0.9607116382505558,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,3,0.3013698630136986,0.9757227575982209,0.2385910668667387,0.3624123448761734,0.9607116382505558,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,4,0.4175824175824176,0.977020014825797,0.2385910668667387,0.3624123448761734,0.9607116382505558,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,4,3,"relu","Dense",1024,16,0.05,5,0.3287671232876712,0.9788732394366199,0.2385910668667387,0.3624123448761734,0.9607116382505558,0.75,0.15789473684210525,"svae","breast-cancer-wisconsin"
32,8,3,"relu","Dense",1024,16,0.05,1,0.42105263157894735,0.9951816160118606,0.16865684639157794,0.22952003614070002,0.9929577464788732,0.7272727272727273,0.21052631578947367,"svae","breast-cancer-wisconsin"
