hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,fc,aucpxv,aucf2,aucf3,ar,i,κ,anom_disc,model,dataset
32,8,3,relu,Dense,256,0,1.0,5,0.9930394431554525,1.0,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,6,0.9930394431554525,0.988399071925754,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,7,0.9930394431554525,0.9559164733178654,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,8,0.9930394431554525,1.0,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,9,0.9930394431554525,0.9791183294663574,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,10,0.9930394431554525,0.9953596287703016,1.0,0.05,1,3.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,1,0.9930394431554525,0.5,0.5,0.05,1,5.0,0,svae,abalone
32,8,3,relu,Dense,256,0,1.0,2,0.9930394431554525,0.9976798143851509,1.0,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,3,0.9930394431554525,0.974477958236659,1.0,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,4,0.9930394431554525,0.9976798143851509,1.0,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,5,0.9930394431554525,0.9953596287703016,1.0,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,6,0.9930394431554525,0.9930394431554525,1.0,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,7,0.9930394431554525,0.9907192575406032,1.0,0.05,1,5.0,1,svae,abalone
32,8,3,relu,Dense,256,0,1.0,8,0.9930394431554525,0.962877030162413,1.0,0.05,1,5.0,1,svae,abalone
